ean	name	marke	kategorie	bildUrl	preis	preisMin	preisMax	preisAnzahl	preisStand
0000444280921	kinder Country	kinder		https://images.openfoodfacts.org/images/products/000/044/428/0921/front_de.3.400.jpg	2.99	2.99	2.99	1	2025-08-25
0000946903632	Butter Powder 1.02kg	Augason Farms	Butter & Margarine	https://images.openfoodfacts.org/images/products/000/094/690/3632/front_en.14.200.jpg					
00010269	Vegane Creme 150g	K-Classic		https://images.openfoodfacts.org/images/products/00010269/front_de.3.200.jpg					
0011210002173	Tabasco Brand Pepper Sauce 60ml	McIlhenny	Gewürze	https://images.openfoodfacts.org/images/products/001/121/000/2173/front_de.86.400.jpg	3.49	3.49	3.49	1	2025-09-06
0013117016529	Rote Beete Meerrettich 180g	K take it veggie							
0015300430471	Long Grain & Wild Rice Original	Rice-A-Roni	Nudeln & Reis	https://images.openfoodfacts.org/images/products/001/530/043/0471/front_en.15.200.jpg					
0015700050026	Hot cocoa mix	Swiss Miss	Getränke	https://images.openfoodfacts.org/images/products/001/570/005/0026/front_en.8.400.jpg	5.99	5.99	5.99	1	2025-03-07
0015869007763	Suppengemüse 1200g	Bofrost	Gemüse	https://images.openfoodfacts.org/images/products/001/586/900/7763/front_de.4.200.jpg					
0018100000110	Risottoreis 500 g		Nudeln & Reis	https://images.openfoodfacts.org/images/products/001/810/000/0110/front_de.3.200.jpg					
0018341751062	Stuffed Mushrooms 750 ml	Barefoot	Bier & Wein	https://images.openfoodfacts.org/images/products/001/834/175/1062/front_de.3.200.jpg					
0020357122682	Milk 100	Mestla	Milch						
0024000001966	Ananas in Scheiben im Saft 435g	Del Monte	Konserven	https://images.openfoodfacts.org/images/products/002/400/000/1966/front_en.34.200.jpg					
0031200449726	Cranberry classic 1L	Ocean Spray	Säfte	https://images.openfoodfacts.org/images/products/003/120/044/9726/front_de.11.200.jpg					
0034000702459	Peanut Butter Cups 77g	Reese’s	Schokolade	https://images.openfoodfacts.org/images/products/003/400/070/2459/front_fr.13.200.jpg					
0034000939848	Peanut Butter Cups - Minis - Unwrapped 90g	Reese's	Schokolade	https://images.openfoodfacts.org/images/products/003/400/093/9848/front_en.64.200.jpg					
0034500151504	Unsalted Butter 453g	Land O'Lakes	Butter & Margarine	https://images.openfoodfacts.org/images/products/003/450/015/1504/front_en.22.200.jpg					
0038407637475	Erdbeeren 500 g	Mein Beerenglück	Obst	https://images.openfoodfacts.org/images/products/003/840/763/7475/front_de.5.200.jpg					
0039047001138	Pure Butter Shortbread	Walkers	Kekse	https://images.openfoodfacts.org/images/products/003/904/700/1138/front_en.11.400.jpg	3.19	3.19	3.19	1	2025-02-01
0039047001152	Pure Butter Shortbread 150 g 5.3 oz	WALKER'S	Kekse	https://images.openfoodfacts.org/images/products/003/904/700/1152/front_en.120.200.jpg					
0039047001824	Chocolate Chip Shortbread 175g	WALKER'S	Kekse	https://images.openfoodfacts.org/images/products/003/904/700/1824/front_fr.86.200.jpg					
0041700015420	Margherita	Die Ofenfrische	Pizza & Fertiggerichte						
0041700038993	Pizza Tonno 1pcs	Dr. Oetker	Pizza & Fertiggerichte	https://images.openfoodfacts.org/images/products/004/170/003/8993/front_fr.12.200.jpg					
0043500102072	Ofen Chips Paprika 125 g	funny-frisch	Chips & Salziges	https://images.openfoodfacts.org/images/products/004/350/010/2072/front_de.3.200.jpg					
0043804005253	Knusper Frites	Agrarfrost	Chips & Salziges	https://images.openfoodfacts.org/images/products/004/380/400/5253/front_de.3.400.jpg	2.69	2.69	2.69	1	2026-02-03
0046000815213	Guacamole Mild 20g	Old El Paso	Gewürze	https://images.openfoodfacts.org/images/products/004/600/081/5213/front_fr.146.200.jpg					
0046800000970	Süss-Sauer Sauce 250ml	Develey	Gewürze	https://images.openfoodfacts.org/images/products/004/680/000/0970/front_de.6.400.jpg	1.79	1.79	1.79	1	2025-07-31
00471428	cucumber	Sainsbury's	Gemüse	https://images.openfoodfacts.org/images/products/000/000/047/1428/front_en.10.200.jpg					
00481571	Geschnetzeltes vom Schwein	Purland		https://images.openfoodfacts.org/images/products/000/000/048/1571/front_de.3.200.jpg					
0048490036130	Die Streichzarte aus Butter und Rapsöl ungesalzen 250 g	Weihenstephan	Butter & Margarine	https://images.openfoodfacts.org/images/products/004/849/003/6130/front_de.11.200.jpg					
0049300018209	orientalische Minze 1pcs	Herba		https://images.openfoodfacts.org/images/products/004/930/001/8209/front_de.6.200.jpg					
0054300090018	Marshmallows classic	Rocky Mountain	Süßwaren & Snacks	https://images.openfoodfacts.org/images/products/005/430/009/0018/front_en.8.400.jpg	2.49	2.49	2.49	1	2026-04-18
0054881004787	Green Tea - Tagged Bags 100pcs	Ahmad Tea London	Kaffee & Tee	https://images.openfoodfacts.org/images/products/005/488/100/4787/front_en.15.200.jpg					
00662079	Königsberger Klopse	Genuss pur	Pizza & Fertiggerichte	https://images.openfoodfacts.org/images/products/000/000/066/2079/front_de.4.400.jpg	3.49	3.49	3.49	1	2026-04-14
0070177010768	Earl Grey Tee 50g	Twinings	Kaffee & Tee	https://images.openfoodfacts.org/images/products/007/017/701/0768/front_en.45.200.jpg					
0070177010775	Tea English Schwarztee 25pcs	Twinings	Kaffee & Tee	https://images.openfoodfacts.org/images/products/007/017/701/0775/front_de.29.200.jpg					
0070177029623	Earl Grey Tea 100 g.	Twinings	Kaffee & Tee	https://images.openfoodfacts.org/images/products/007/017/702/9623/front_en.8.200.jpg					
0070177029630	English Breakfast Tea 100g	Twinings	Kaffee & Tee	https://images.openfoodfacts.org/images/products/007/017/702/9630/front_en.34.200.jpg					
0070734055003	Fruit Tea Sampler	Celestial Seasonings	Kaffee & Tee	https://images.openfoodfacts.org/images/products/007/073/405/5003/front_en.4.200.jpg					
0072252057958	Breakfast Tea 250 g	Fortnum & Mason	Kaffee & Tee	https://images.openfoodfacts.org/images/products/007/225/205/7958/front_de.3.200.jpg					
0072600069145	Cheese Curls - Carolina Reaper flavoured 113 g	Herr's	Kekse	https://images.openfoodfacts.org/images/products/007/260/006/9145/front_de.62.400.jpg	2.24	1.99	2.49	2	2025-08-02
0072830906128	Sweet Cream Butter Grade Aa Salted 454 g	Tillamook	Butter & Margarine	https://images.openfoodfacts.org/images/products/007/283/090/6128/front_en.16.200.jpg					
0074401910411	Arborio Rice 660g	Rice Select	Nudeln & Reis	https://images.openfoodfacts.org/images/products/007/440/191/0411/front_en.17.200.jpg					
0077330345583	Queen's Traditional Danish Butter Cookies 0077330345583 Dänische Buttergebäcke 500g	Queen's	Kekse	https://images.openfoodfacts.org/images/products/007/733/034/5583/front_de.18.200.jpg					
0078548293024	Grissini 250 g	Stiratini	Brot	https://images.openfoodfacts.org/images/products/007/854/829/3024/front_de.39.400.jpg	1.69	1.69	1.69	1	2026-07-27
0078895160468	Premium-Pilz-Würzpulver 200 g	Lee Kum Kee	Gewürze	https://images.openfoodfacts.org/images/products/007/889/516/0468/front_en.3.200.jpg					
0078895161564	Umami-Pilz-Bouillon 60 g	Lee Kum Kee	Pizza & Fertiggerichte	https://images.openfoodfacts.org/images/products/007/889/516/1564/front_de.14.400.jpg	1.95	1.95	1.95	1	2024-12-27
0084909000569	Reisbandnudeln, 5 mm 375g	Cock brand	Nudeln & Reis	https://images.openfoodfacts.org/images/products/008/490/900/0569/front_fr.33.200.jpg					
0084909001948	Massaman Currypaste 400g	Cock	Gewürze	https://images.openfoodfacts.org/images/products/008/490/900/1948/front_de.81.200.jpg					
0085000001608	Gernache Rose 750 g	GALLO FAMILY	Bier & Wein	https://images.openfoodfacts.org/images/products/008/500/000/1608/front_de.16.200.jpg					
0085000005002	Cabernet Sauvignon 2012 750ml	Gallo Family	Bier & Wein	https://images.openfoodfacts.org/images/products/008/500/000/5002/front_fr.21.200.jpg					
0085000016688	Weisswein Barefoot 0.75l	Barefoot	Bier & Wein	https://images.openfoodfacts.org/images/products/008/500/001/6688/front_fr.15.200.jpg					
0087703022157	Wang korea 500g	Wang		https://images.openfoodfacts.org/images/products/008/770/302/2157/front_en.24.400.jpg	3.99	3.99	3.99	1	2026-08-10
0089686170115	Chicken Flavour Noodles 350g	indomie	Nudeln & Reis	https://images.openfoodfacts.org/images/products/008/968/617/0115/front_en.72.400.jpg	1.99	1.99	1.99	1	2025-03-11
0091459003865	Basmati reis 1pcs		Nudeln & Reis						
0093302393086	Gemüse Mais 1pcs	k classic							
0093344331220	Pizzasauce 1pcs	K-Classic		https://images.openfoodfacts.org/images/products/009/334/433/1220/front_de.3.200.jpg					
0094029910075	Kulfiice 70mle	Tubzee	Eis	https://images.openfoodfacts.org/images/products/009/402/991/0075/front_en.3.200.jpg					
0096642029233	stangenspargel grün 330g	k classic							
0096642116711	Milch 1pcs	K Classic							
0096642379284	aromatischer Basmati Reis 1000g	K-Classic		https://images.openfoodfacts.org/images/products/009/664/237/9284/front_de.3.200.jpg					
0111111111117	Member's Mark  Is organic whole milk 1l	Member's Mark	Milch	https://images.openfoodfacts.org/images/products/011/111/111/1117/front_en.18.200.jpg					
0123456789012	Rinderfilet 1pcs	Fleischer	Wurstwaren	https://images.openfoodfacts.org/images/products/012/345/678/9012/front_es.69.200.jpg					
01484212	Limo Orange 0,5 l	Paulaner	Limonaden	https://images.openfoodfacts.org/images/products/000/000/148/4212/front_de.3.200.jpg					
0191414010676	Avocado Oil		Öl & Essig	https://images.openfoodfacts.org/images/products/019/141/401/0676/front_de.3.200.jpg					
0193302327804	Getränkesirup Cola 500 ml	K Classic		https://images.openfoodfacts.org/images/products/019/330/232/7804/front_de.3.200.jpg					
01943795	Knusprige Erdnussflips	K Classic							
02007038	Wein 0.75 l.	Lambrusco Salamino die Santa Croce	Bier & Wein	https://images.openfoodfacts.org/images/products/000/000/200/7038/front_de.4.200.jpg					
02062822	Gourmet-Edelsalami 80 g	K-Classic	Wurstwaren	https://images.openfoodfacts.org/images/products/02062822/front_de.4.200.jpg					
0215597814064	Gefriergetrocknete Erdbeerscheiben 100g	KoRo	Obst	https://images.openfoodfacts.org/images/products/021/559/781/4064/front_de.3.200.jpg					
02162386	Exotische Trockenfrüchte Banane 250g	Farmer naturals	Chips & Salziges						
0222529400479	Bio Rinder-Rumpsteak	K Bio							
02284088	Feinherb -Spritziges Edelpils 0,5 l	Kitzmann	Bier & Wein	https://images.openfoodfacts.org/images/products/000/000/228/4088/front_de.3.200.jpg					
02354446	Riffels Chili & Paprika	funny-frisch	Chips & Salziges	https://images.openfoodfacts.org/images/products/000/000/235/4446/front_de.6.200.jpg					
02578781	Rapsöl	Thomy	Öl & Essig	https://images.openfoodfacts.org/images/products/000/000/257/8781/front_es.5.200.jpg					
02671352	Ajvar mild 340 ml	K Classic	Gewürze	https://images.openfoodfacts.org/images/products/02671352/front_de.8.200.jpg					
02877358	Esprit Barville Côtes du Rhône 0,75 l		Bier & Wein	https://images.openfoodfacts.org/images/products/000/000/287/7358/front_de.4.200.jpg					
0346009359160	Blütenhonig	Vom Land		https://images.openfoodfacts.org/images/products/034/600/935/9160/front_de.4.400.jpg	2.49	2.49	2.49	1	2025-06-24
0346209304236	Flüssigseife Sanft & Sensitiv Nachfüllbeutel	Pure & Basic	Körperpflege	https://images.openbeautyfacts.org/images/products/034/620/930/4236/front_de.3.400.jpg	0.99	0.99	0.99	1	2026-04-18
0347195375231	Ministeaks 400g	Purland							
0347195396243	Weizenm.405 1pcs	K-classic							
0347195401336	Eier 10pcs	K-Classic							
0347195419188	Rapsöl raffiniert 1pcs	K Classic							
0347195459214	Instantkaffee volles Aroma 200 g	K-Classic	Kaffee & Tee	https://images.openfoodfacts.org/images/products/034/719/545/9214/front_de.6.200.jpg					
0347195513749	Kaiserschmarrn 1pcs	K-Classic		https://images.openfoodfacts.org/images/products/034/719/551/3749/front_de.3.200.jpg					
0347195520662	laktosefteie fettarme H-milch 1l	k-classic							
0347195538421	Spanische Oliven mit Knoblauch 1pcs	k Classic		https://images.openfoodfacts.org/images/products/034/719/553/8421/front_de.3.200.jpg					
0347195538681	Multivitaminsaft 1l	K Classic		https://images.openfoodfacts.org/images/products/034/719/553/8681/front_de.4.200.jpg					
0347195594939	Essigessenz 400g	K Classic							
0347259303958	Bourbon-Vanille gemahlen 5g		Gewürze	https://images.openfoodfacts.org/images/products/034/725/930/3958/front_de.3.200.jpg					
03989951	Lasagne 500g	K-Classic	Nudeln & Reis	https://images.openfoodfacts.org/images/products/03989951/front.9.200.jpg					
0443476522902	Gereifter Schafskäse mit Pesto	VEGA gourmet		https://images.openfoodfacts.org/images/products/044/347/652/2902/front_de.4.400.jpg	5.99	5.99	5.99	1	2025-12-13
0444214111112	Wasser Naturell - Noé-Quelle 6pcs	Quellbrunn	Wasser						
05035434	Blüten honig 500 g	K-Classic		https://images.openfoodfacts.org/images/products/05035434/front_de.3.200.jpg					
0590008657998	100% Zitrone	Rauch	Säfte	https://images.openfoodfacts.org/images/products/059/000/865/7998/front_de.13.400.jpg	0.89	0.89	0.89	1	2024-08-22
0613008715267	Arizona Green Tea with Ginseng and Honey 22 fl oz - 650 ml	Arizona	Kaffee & Tee	https://images.openfoodfacts.org/images/products/061/300/871/5267/front_en.92.200.jpg					
0628915224702	Salted Churned Butter Sticks 454g	Great Value	Butter & Margarine	https://images.openfoodfacts.org/images/products/062/891/522/4702/front_en.24.200.jpg					
0637913441493	Großmutters Schokogeheimnis 65g		Gewürze	https://images.openfoodfacts.org/images/products/063/791/344/1493/front_de.3.200.jpg					
0647052325035	Rubinette Äpfel 1,75kg	Munz	Obst	https://images.openfoodfacts.org/images/products/064/705/232/5035/front_de.4.200.jpg					
0648436100590	Paldo jjajangmen black bean sauce	Paldo	Nudeln & Reis	https://images.openfoodfacts.org/images/products/064/843/610/0590/front_en.35.400.jpg	1.99	1.99	1.99	1	2025-11-27
06521684	Pesto 190	K-Classic	Gewürze	https://images.openfoodfacts.org/images/products/06521684/front_de.4.200.jpg					
0658325089684	Olivenöl Zitrone 250 ml	Namaqua	Öl & Essig	https://images.openfoodfacts.org/images/products/065/832/508/9684/front_de.3.200.jpg					
06604356	Schweine Rückensteak mediterran	Purland		https://images.openfoodfacts.org/images/products/000/000/660/4356/front_en.3.200.jpg					
06918569	Steinofen Pizza 900 g		Pizza & Fertiggerichte						
0705632503607	Kurkuma 150g	Nashira	Gewürze						
0710702009620	Pikante Kuttelsuppe	Gasthaus Stern - Heilbronner Straße 16-73635 Schlechtbach		https://images.openfoodfacts.org/images/products/071/070/200/9620/front_de.3.400.jpg	6.80	6.80	6.80	1	2025-11-07
0710702009996	Pikantes Gulasch vom Rind	Gasthaus Stern - Heilbronner Straße 16-73635 Schlechtbach		https://images.openfoodfacts.org/images/products/071/070/200/9996/front_de.3.400.jpg	11.80	11.80	11.80	1	2025-11-07
0722252387530	Crunchy Peanut Butter 68 g	Clif Bar	Süßwaren & Snacks	https://images.openfoodfacts.org/images/products/072/225/238/7530/front_en.74.400.jpg	2.32	2.15	2.49	2	2026-02-27
0722777196846	Wiener Mandel Eis 100 ml	Eis im Glück	Eis	https://images.openfoodfacts.org/images/products/072/277/719/6846/front_de.8.200.jpg					
0739748027641	Pretzel Pieces - Jalapeño 160 g	Pretzel Pete	Chips & Salziges	https://images.openfoodfacts.org/images/products/073/974/802/7641/front_en.8.200.jpg					
0740875828308	Salatbox Griechischer Art mit Joghurt Dressing	Meal Quick	Pizza & Fertiggerichte	https://images.openfoodfacts.org/images/products/074/087/582/8308/front_de.7.400.jpg	2.59	2.59	2.59	1	2025-11-13
0742832682022	Yuzuka 0,33l	Doyobi GmbH	Limonaden	https://images.openfoodfacts.org/images/products/074/283/268/2022/front_de.3.200.jpg					
0742832990929	6 frische Bio-Eier	Biohof Dötz		https://images.openfoodfacts.org/images/products/074/283/299/0929/front_de.3.400.jpg	3.49	3.49	3.49	2	2026-01-31
0745760683550	Dunkles 0,5L	Kraftpaule	Bier & Wein	https://images.openfoodfacts.org/images/products/074/576/068/3550/front_de.3.200.jpg					
0746603233536	Avocado Dreams 55g		Gewürze	https://images.openfoodfacts.org/images/products/074/660/323/3536/front_de.3.200.jpg					
0746775036744	UNO 1 Satz	Mattel		https://images.openproductsfacts.org/images/products/074/677/503/6744/front_de.28.400.jpg	10.99	10.99	10.99	1	2025-02-01
0750022403715	lemberger rebell 0,75 ltr	WARTH	Bier & Wein	https://images.openfoodfacts.org/images/products/075/002/240/3715/front_de.8.200.jpg					
0750022403784	pinot blanc Trocken 0,75 ltr	WARTH	Bier & Wein	https://images.openfoodfacts.org/images/products/075/002/240/3784/front_de.6.200.jpg	8.70	8.40	8.99	2	2025-11-28
07504686	Cune 0,75 l	Cune	Bier & Wein	https://images.openfoodfacts.org/images/products/000/000/750/4686/front_de.4.200.jpg					
0757528048112	Takis Blue Heat 3.25 oz (92.3g)	Takis	Chips & Salziges	https://images.openfoodfacts.org/images/products/075/752/804/8112/front_en.50.200.jpg					
07583254	streichfein 250 g	milsana	Butter & Margarine						
0764137500009	Karls Kola	Karls	Limonaden	https://images.openfoodfacts.org/images/products/076/413/750/0009/front_de.3.400.jpg	1.29	1.29	1.29	1	2024-12-09
0764460288070	Urstrom Jersey's Belgische Schokolade 500 ml	Urstrom Jersey's	Eis	https://images.openfoodfacts.org/images/products/076/446/028/8070/front_de.3.200.jpg					
0778988419571	Rubik's Cube 1 Stück	Rubik's		https://images.openproductsfacts.org/images/products/077/898/841/9571/front_de.3.400.jpg	12.99	12.99	12.99	1	2026-07-03
07846670	Cocktail Sauce fruchtig-würzig 300 ml	K-Classic	Gewürze	https://images.openfoodfacts.org/images/products/07846670/front_de.5.200.jpg					
0786557863526	Extra Long Grain Sella Basmati Rice 5kg	Kaspian	Nudeln & Reis	https://images.openfoodfacts.org/images/products/078/655/786/3526/front_de.7.200.jpg					
08060518	Knusprige Röstzwiebeln 100 g	K-Classic		https://images.openfoodfacts.org/images/products/08060518/front_de.4.200.jpg					
0837328000050	Organic ramen noodles 270g	Hakubaku	Nudeln & Reis	https://images.openfoodfacts.org/images/products/083/732/800/0050/front_en.42.200.jpg					
0841165156870	instant noodles 65g	Noodlicious	Nudeln & Reis	https://images.openfoodfacts.org/images/products/084/116/515/6870/front_it.54.200.jpg					
0852358001174	Unsalted Butter 200g	Anchor	Butter & Margarine	https://images.openfoodfacts.org/images/products/085/235/800/1174/front_en.16.200.jpg					
